"","Dp","Hs","Tp","Ta","Temp","lag","season"
"88104","12","2.76","7.69","5.87","10.1","17","1"
"88105","21","2.46","7.69","5.44","10.1","12","1"
"88106","20","2.57","7.14","5.8","9.9","21","1"
"88107","17","2.53","7.14","5.64","9.9","20","1"
"88108","30","2.4","8.33","5.69","9.8","17","1"
"88109","27","2.37","7.69","5.44","9.8","30","1"
"88110","35","2.39","8.33","5.56","9.7","27","1"
"88111","20","2.37","7.14","5.6","9.6","35","1"
"88112","17","2.3","6.67","5.34","9.6","20","1"
"88113","26","2.24","7.69","5.33","9.5","17","1"
"88114","16","2.15","6.25","5.34","9.5","26","1"
"88115","12","2.13","6.25","5.34","9.4","16","1"
"88116","30","2.09","7.69","5.32","9.4","12","1"
"88117","24","1.97","6.67","5.23","9.4","30","1"
"88118","26","2.17","7.69","5.32","9.4","24","1"
"88119","33","2.06","7.14","5.29","9.4","26","1"
"88120","27","2.02","6.67","5.16","9.4","33","1"
"88121","23","2.02","6.25","5.14","9.3","27","1"
"88122","17","2.0","5.88","5.08","9.3","23","1"
"88123","13","2.13","5.88","5.27","9.3","17","1"
"88124","17","2.06","7.14","5.12","9.3","13","1"
"88125","23","2.08","7.14","5.26","9.2","17","1"
"88126","31","2.04","7.69","5.24","9.2","23","1"
"88127","34","2.06","8.33","5.32","9.2","31","1"
"88128","30","2.04","7.69","5.28","9.2","34","1"
"88129","26","2.07","7.14","5.4","9.2","30","1"
"88130","26","2.17","7.69","5.52","9.2","26","1"
"88131","26","2.15","7.14","5.39","9.1","26","1"
"88132","26","2.01","7.69","5.34","9.1","26","1"
"88133","27","2.01","7.69","5.28","9.1","26","1"
"88134","19","1.95","7.14","5.35","9.1","27","1"
"88135","34","1.98","7.69","5.28","9.1","19","1"
"88136","35","1.85","7.69","5.13","9.1","34","1"
"88137","26","1.78","7.14","5.14","9.1","35","1"
"88138","33","1.88","7.14","5.27","9.1","26","1"
"88139","28","1.8","7.14","5.28","9.1","33","1"
"88140","27","1.82","7.14","5.13","9.0","28","1"
"88141","27","1.78","7.69","5.16","9.0","27","1"
"88142","26","1.8","7.14","5.17","9.0","27","1"
"88143","28","1.65","6.67","4.96","8.9","26","1"
"88144","20","1.58","7.14","4.87","8.9","28","1"
"88145","26","1.54","6.25","4.88","8.9","20","1"
"88146","20","1.53","7.14","4.88","8.9","26","1"
"88147","23","1.58","6.67","4.97","8.9","20","1"
"88148","28","1.53","7.14","5.08","8.9","23","1"
"88149","19","1.43","7.14","5.0","8.9","28","1"
"88150","24","1.46","7.14","5.13","8.9","19","1"
"88151","31","1.32","6.67","5.13","8.9","24","1"
"88152","26","1.32","6.67","5.26","8.9","31","1"
"88153","20","1.22","6.67","5.16","8.9","26","1"
"88154","26","1.26","6.25","5.15","8.9","20","1"
"88155","26","1.22","6.67","5.23","8.8","26","1"
"88156","19","1.17","5.26","4.97","8.8","26","1"
"88157","30","1.2","6.67","5.17","8.8","19","1"
"88158","26","1.14","5.88","4.98","8.8","30","1"
"88159","49","1.18","7.14","5.05","8.8","26","1"
"88160","45","1.13","7.14","5.32","8.8","49","1"
"88161","45","1.11","6.67","5.14","8.7","45","1"
"88162","48","1.0","6.25","5.0","8.7","45","1"
"88163","49","1.09","6.67","5.29","8.6","48","1"
"88164","40","1.0","6.25","5.13","8.8","49","1"
"88165","42","0.96","6.25","5.09","8.7","40","1"
"88166","51","0.91","6.25","5.12","8.6","42","1"
"88167","49","0.93","6.25","4.86","8.6","51","1"
"88168","37","0.93","5.88","4.8","8.6","49","1"
"88169","57","0.89","5.88","4.55","8.6","37","1"
"88170","44","0.91","5.88","4.4","8.6","57","1"
"88171","35","0.91","5.56","4.34","8.4","44","1"
"88172","44","0.88","5.56","4.22","8.4","35","1"
"88173","59","0.87","7.69","4.38","8.4","44","1"
"88174","44","0.88","5.26","4.28","8.2","59","1"
"88175","83","0.87","9.09","4.16","8.2","44","1"
"88176","73","0.89","7.14","4.06","8.2","83","1"
"88177","47","0.86","5.56","4.09","8.2","73","1"
"88178","69","0.86","7.69","4.06","8.2","47","1"
"88179","69","0.83","7.14","4.05","8.2","69","1"
"88180","78","0.84","7.69","4.16","8.1","69","1"
"88181","65","0.83","6.67","3.99","8.2","78","1"
"88182","65","0.85","6.67","4.01","8.2","65","1"
"88183","20","0.87","3.57","3.99","8.2","65","1"
"88184","26","0.88","3.7","3.97","8.1","20","1"
"88185","23","0.88","3.57","3.94","8.2","26","1"
"88186","21","0.86","4.17","3.85","8.6","23","1"
"88187","26","0.86","3.7","4.08","8.6","21","1"
"88188","10","0.89","3.85","3.98","8.1","26","1"
"88189","17","0.91","3.7","3.86","8.1","10","1"
"88190","13","0.91","4.0","3.97","8.1","17","1"
"88191","16","0.95","3.85","3.89","8.1","13","1"
"88192","20","1.02","4.0","3.89","8.1","16","1"
"88193","13","1.07","4.0","3.85","8.2","20","1"
"88194","20","1.05","4.0","3.94","8.2","13","1"
"88195","19","1.11","4.17","3.97","8.2","20","1"
"88196","12","1.24","4.35","3.95","8.2","19","1"
"88197","352","1.37","4.55","4.09","8.2","12","1"
"88198","355","1.65","4.76","4.23","8.1","352","1"
"88199","353","1.7","5.0","4.42","8.2","355","1"
"88200","356","1.94","5.56","4.69","8.2","353","1"
"88201","17","2.23","5.88","4.91","8.2","356","1"
"88202","41","2.46","5.88","5.17","8.2","17","1"
"88203","30","2.62","6.25","5.35","8.2","41","1"
"88204","9","2.84","5.88","5.62","8.2","30","1"
"88205","17","3.38","6.25","5.88","8.2","9","1"
"88206","99","3.72","8.33","6.37","8.2","17","1"
"88207","26","3.55","6.67","6.32","8.2","99","1"
"88208","100","4.22","9.09","6.93","8.2","26","1"
"88209","103","4.49","9.09","6.87","8.6","100","1"
"88210","106","4.28","9.88","7.0","9.0","103","1"
"88211","100","4.36","9.88","6.78","9.2","106","1"
"88212","102","4.77","9.88","6.79","9.3","100","1"
"88213","87","5.0","9.09","6.88","9.3","102","1"
